Trait,Heritability
g_.Eubacterium..brachy.group,0
g_.Eubacterium..nodatum.group,0.273020325
g_A2,0.456153053
g_Acetatifactor,3.40E-10
g_Akkermansia,0.054285801
g_Alistipes,0.306654572
g_Anaerotruncus,0.072877291
g_Bifidobacterium,0.324005014
g_Blautia,0.066773414
g_Clostridium.sensu.stricto.1,0.390397571
g_Clostridium.sensu.stricto.13,0.332050764
g_Coriobacteriaceae.UCG.002,0.138136729
g_Dubosiella,0.036294577
g_Enterorhabdus,0.332602064
g_Erysipelatoclostridium,0.116754646
g_Escherichia.Shigella,0.423903568
g_Faecalibaculum,0.395966809
g_GCA.900066225,0
g_GCA.900066575,0.371455414
g_Intestinimonas,0
g_Lachnoclostridium,0.270651237
g_Lachnospiraceae.FCS020.group,0.300571056
g_Lachnospiraceae.NK4A136.group,0.140818845
g_Lachnospiraceae.UCG.004,0.144611811
g_Lachnospiraceae.UCG.006,0.256734212
g_Lactobacillus,0.131683134
g_Lactococcus,0.004542035
g_Marvinbryantia,0.165262499
g_Oscillibacter,0.229134262
g_Romboutsia,0.16897846
g_Roseburia,0.219090463
g_Ruminiclostridium,0.156870608
g_Ruminiclostridium.5,0.321579098
g_Ruminiclostridium.9,0.365664681
g_Ruminococcaceae.NK4A214.group,0.22838494
g_Ruminococcaceae.UCG.010,0.088346287
g_Staphylococcus,0
g_Terrisporobacter,0.360660849
g_Tyzzerella,0.24027834
g_UBA1819,0.044449501
