SampleID,ID,Sex,ngen,Cage_ID,Dam_ID,folChol,liverTC,lesionArea,folGLC,folTG,shannon,faith_pd,observed_otus,UWU_PC1,UWU_PC2,UWU_PC3,WU_PC1,WU_PC2,WU_PC3,Bray_PC1,Bray_PC2,Bray_PC3,g_Bifidobacterium,g_Coriobacteriaceae UCG-002,g_Enterorhabdus,g_Alistipes,g_Staphylococcus,g_Lactobacillus,g_Lactococcus,g_Clostridium sensu stricto 1,g_Clostridium sensu stricto 13,g_[Eubacterium] brachy group,g_[Eubacterium] nodatum group,g_A2,g_Acetatifactor,g_Blautia,g_GCA-900066575,g_Lachnoclostridium,g_Lachnospiraceae FCS020 group,g_Lachnospiraceae NK4A136 group,g_Lachnospiraceae UCG-004,g_Lachnospiraceae UCG-006,g_Marvinbryantia,g_Roseburia,g_Tyzzerella,g_Romboutsia,g_Terrisporobacter,g_Anaerotruncus,g_GCA-900066225,g_Intestinimonas,g_Oscillibacter,g_Ruminiclostridium,g_Ruminiclostridium 5,g_Ruminiclostridium 9,g_Ruminococcaceae NK4A214 group,g_Ruminococcaceae UCG-010,g_UBA1819,g_Dubosiella,g_Erysipelatoclostridium,g_Faecalibaculum,g_Escherichia-Shigella,g_Akkermansia
162,162,Female,Wave 1,175243,1,840.9,12.88821828,46894,333.3,531,4.890431846,6.256623932,117,-0.086981061,0.230071336,0.066556475,0.05131646,-0.027729174,0.015742008,-0.044743675,0.060938249,0.156464129,29,39,1,16,3,237,248,162,1,4,6,402,4,347,60,123,1,57,6,12,1,5,20,417,1,1,1,28,62,74,17,64,1,2,1,1,161,1597,4,1
164,164,Female,Wave 1,175243,1,820.2,15.43366056,95288,290.7,372,3.12654083,4.836688536,58,0.19991962,0.046923934,0.006709532,-0.021286841,-0.025378957,0.003276207,-0.389860198,0.015219259,-0.008836412,82,557,6,1,1,1,121,231,1,1,21,34,1,31,9,84,1,47,1,1,1,1,15,156,1,11,1,16,11,11,1,19,7,1,1,1,490,3035,150,1
166,166,Male,Wave 1,175244,1,318.3,5.723279439,8241,338.4,237,2.174507175,3.442457751,33,0.378817118,-0.038303021,-0.013083441,-0.032771566,-0.009941623,-0.017196038,-0.466524984,0.133778211,-0.134203263,122,641,8,1,1,1,34,75,211,1,1,1,1,52,1,6,1,7,1,1,62,1,1,1,104,1,1,1,1,1,5,8,1,1,16,1,86,4026,62,1
168,168,Male,Wave 1,175244,1,534.6,17.76452282,5414,465,546,4.113967522,4.454370175,61,0.18296615,0.016311101,0.000998751,0.0421155,-0.014391017,0.005788517,-0.26981367,-0.040083216,0.034603578,5,174,10,4,1,1,278,17,125,19,1,1,1,182,1,97,1,179,25,6,253,1,1,1,246,39,1,1,54,1,16,186,1,1,96,1,179,2245,143,1
182,182,Female,Wave 1,174880,14,1111.8,18.67219917,103097,332.1,537,5.335175164,5.524485542,114,-0.267752009,0.015060649,0.070367265,-0.057285073,0.033554928,-0.001465267,0.378251424,0.078715052,0.09029241,1,1,39,15,1,37,565,1,1,11,1,904,230,1117,65,295,8,270,1,63,1,74,72,1,1,7,1,71,202,110,73,125,1,1,1,1,244,8,7,1
183,183,Female,Wave 1,174880,14,1922.1,16.75056119,310346,351,1179,4.788440563,4.91766089,79,-0.19938197,-0.193723463,0.013816154,0.061175673,0.022577509,0.010070577,0.35322963,-0.009932122,0.043309945,1,1,72,56,1,4,778,1,1,7,10,844,50,1145,52,260,1,132,1,14,1,57,48,1,1,1,1,34,130,108,25,59,7,1,1,1,337,1,8,1
184,184,Male,Wave 1,174881,14,899.7,9.277657647,22468,408.3,267,4.672624304,3.882888809,65,-0.21810604,-0.217254135,0.036978558,-0.020202129,0.03075128,0.030439672,0.25877424,-0.052308117,0.075369431,1,1,34,5,1,30,336,1,1,1,1,136,1,1512,344,412,14,94,1,77,1,26,26,1,1,1,1,116,83,48,91,63,1,1,1,1,1,7,1,309
186,186,Male,Wave 1,174881,14,421.95,7.822597102,30634,303.45,243,4.714157553,4.605891137,68,-0.141189349,-0.17780556,-0.020018592,0.053616487,0.01114465,0.01028884,0.322333785,-0.131375358,0.040988179,1,1,115,10,19,26,848,1,1,6,28,751,43,501,91,138,1,32,1,44,1,11,16,1,1,1,1,66,71,93,29,73,1,1,1,1,255,15,1,650
190,190,Female,Wave 1,174878,18,745.8,13.77164115,18635,260.7,369,4.273053551,3.437412113,41,0.077968515,-0.160964387,-0.038848511,0.084043456,-0.019271831,-0.022688128,0.02232411,-0.338589207,0.041262253,51,1,16,1,1,655,102,1,1,1,1,1,1,641,1,1,1,1,1,1,1,1,1,1,1072,42,1,1,48,1,55,45,1,1,1,1,1157,19,1,1
191,191,Female,Wave 1,174878,18,674.7,16.23669493,66738,266.4,216,4.974925758,4.777003067,92,-0.036614946,0.068905792,0.170168896,0.017189107,-0.0031122,0.028446892,0.127950691,-0.025109232,0.176457098,1,1,39,1,1,136,472,73,1,3,1,478,4,432,69,194,3,144,1,81,1,1,36,501,1,1,1,20,99,57,21,112,6,1,1,1,466,780,1,1
192,192,Male,Wave 1,174879,18,943.5,8.910522396,1206,284.4,807,5.256249275,4.874389896,93,-0.119087255,0.04037875,-0.113577064,0.053917282,0.01307819,0.01958292,0.311525233,0.028627166,0.117755617,1,1,9,1,67,108,678,1,1,2,1,1080,1,349,93,216,1,391,1,83,1,1,51,1,1,1,1,65,84,137,39,124,8,1,16,1,168,80,1,1
194,194,Male,Wave 1,174879,18,1247.1,6.421655799,36860,200.7,1530,5.17112612,5.507644616,87,-0.046421266,0.244994456,-0.067388664,0.127574258,-0.019421584,-0.042813921,0.219097463,-0.097892612,0.232645468,1,1,1,1,17,109,256,1,12,11,1,649,1,330,117,178,6,151,1,49,13,1,80,1,1,1,1,44,109,151,28,71,1,12,5,1,835,102,6,1
